fertility rate,worker percent
3.71,28.33
3.59,28.72
3.48,29.18
3.37,29.67
3.27,30.17
3.17,30.66
3.07,31.02
2.97,31.4
2.88,31.77
2.78,32.13
2.69,32.5
2.6,32.74
2.52,33.5
2.45,34.29
2.38,35.1
2.32,35.94
2.27,36.77
2.23,37.62
2.19,38.49
2.15,39.38
2.12,40.29
2.09,41.21
2.06,44.04
